id,reg_key,item_id,name,jurisdiction_source,category,is_current,version,version_hash,state_code,content_hash
135,REG-133,energy-reorganization-act-of-1974-as-amended,"Energy Reorganization Act of 1974, as amended",federal,Environmental Health and Safety,t,3,d729d16563b2c2108be756a910bc92a30d311f495273ebc81aba0534343c6962,,
136,REG-134,federal-insecticide-fungicide-and-rodenticide-act,"Federal Insecticide, Fungicide and Rodenticide Act",federal,Environmental Health and Safety,t,3,6b5e8576ec06a6ae9eca981e4d67a0fb3b4dd76298c9cd8aac338e31aebbd0b1,,
137,REG-135,guarding-and-use-of-hand-portable-powered-tools,Guarding and Use of Hand & Portable Powered Tools,federal,Environmental Health and Safety,t,4,7a2ee3e234fd8b574d3d91a7f3c30de68bf4d6f63a9e55d0a3171d43004c5e8a,,
138,REG-115,hazardous-materials-transportation-act,Hazardous Materials Transportation Act,federal,Information Technology,t,4,bcc86c64b910fed976a529248d4a468d6b8d960eae1ac210f9a38c47506e6aa8,,
139,REG-136,hazardous-and-solid-waste-amendments-of-1984,Hazardous and Solid Waste Amendments of 1984,federal,Environmental Health and Safety,t,3,85b27bc48b643520cc344990d18c8dcb643c10ff47c339f6dfa1d2d7a1f668be,,
140,REG-139,housing-urban-development-lead-based-paint-poisoni,Housing & Urban Development Lead Based Paint Poisoning in Certain Residential Structures,federal,Environmental Health and Safety,t,3,74543b5c1414d55969d114c20b4bfa80daf631a311b28c8089e0c081d140207c,,
141,REG-140,mandatory-reporting-of-greenhouse-gases,Mandatory Reporting of Greenhouse Gases,federal,Environmental Health and Safety,t,4,d2e4a4ea8b398ba49256285fe3aa568331581f961c310e534756c72884cb12ef,,
142,REG-141,motor-carrier-act-of-1980,Motor Carrier Act of 1980,federal,Environmental Health and Safety,t,4,9a566a3f877418d7df982a8c957e5c3b3dbd54ced993af338c45324eb1bad32c,,
143,REG-142,national-emission-standards-for-hazardous-air-poll,National Emission Standards for Hazardous Air Pollutants (NESHAP),federal,Environmental Health and Safety,t,4,efb16aef06e31e613fe602366e7e9af75aad7fbba9e3e869a08ed0a6077ba349,,
144,REG-087,osha,OSHA,federal,Environmental Health and Safety,t,7,bcc63d4bcfdf52a7e3f946df53eb6a7b25791ef0fe15b605bdd84ae547de7c16,,
145,REG-088,osha-asbestos-in-construction-standard,OSHA Asbestos in Construction Standard,federal,Environmental Health and Safety,t,4,2582a88c930c18dc6c8054d84df9d4645ed393676e0231ec6c11815778bcceb5,,
146,REG-089,osha-asbestos-in-general-industry-standard,OSHA Asbestos in General Industry Standard,federal,Environmental Health and Safety,t,4,72318533a9025ef5a78338180aa3676f1351f1a5e364b4e92c67a3f396bae2f7,,
147,REG-090,osha-enforcement-guidance-for-personal-protective-,OSHA Enforcement Guidance for Personal Protective Equipment (PPE) in General Industry,federal,Environmental Health and Safety,t,4,72fe1561543c3443f8c49d67b496537b8b61ac906d75b2d3ddec7ef41cc2c0ca,,
148,REG-091,osha-lead-in-construction-standard,OSHA Lead in Construction Standard,federal,Environmental Health and Safety,t,4,3f68727135b7338740b376eb0f62b0f0e5097e13fa5bfcf8668ac89413d2f20a,,
149,REG-092,osha-lead-in-general-industry-standard,OSHA Lead in General Industry Standard,federal,Environmental Health and Safety,t,4,2f2a3832a3548306c92b65f972ee1c76cd7369feaa0ad2da99c26dd2e6c5d370,,
150,REG-093,osha-welding-cutting-and-brazing,"OSHA Welding, Cutting, and Brazing",federal,Environmental Health and Safety,t,4,e7422962794b3a92609377d79edfec3187c3f598d1912c120df00f43a2509422,,
151,REG-094,osha-bloodborne-pathogens-standard,OSHA – Bloodborne Pathogens Standard,federal,Environmental Health and Safety,t,4,05bb4ce13d3ef561662e68f37dc642f728a30c72b60f0ff678213d00948cf992,,
152,REG-095,osha-s-emergency-action-plan-standard,OSHA’s  Emergency Action Plan Standard,federal,Environmental Health and Safety,t,4,cbbe1fb78bc8a36fbf2ce7d83a3b0efa0c79829492e084e46e584db4c1656574,,
153,REG-096,osha-s-occupational-noise-exposure-standard,OSHA’s  Occupational Noise Exposure Standard,federal,Environmental Health and Safety,t,3,de015bafec853bd2d7eb90f28db344af916382043aab38a5abda218efd497d5b,,
154,REG-097,osha-s-occupational-exposure-to-hazardous-chemical,OSHA’s Occupational Exposure to Hazardous Chemicals in Laboratories Standard,federal,Environmental Health and Safety,t,4,ec9e0d14c141383ab60407ecdc70858c592600242fa2f3a8793b16bd25e6538b,,
155,REG-143,oil-pollution-act,Oil Pollution Act,federal,Environmental Health and Safety,t,3,2329f9eba4ba23a301a7f5a6841bb2a6151d8897c8bbced5ccf422a96e5f7c21,,
156,REG-144,residential-lead-based-paint-hazard-reduction-act-,Residential Lead-Based Paint Hazard Reduction Act of 1992,federal,Environmental Health and Safety,t,3,91e41d9b6389c86bfa32946d4f60bcccb773b97950d58fffd3c30587a6cbcac6,,
157,REG-145,resource-conservation-and-recovery-act,Resource Conservation and Recovery Act,federal,Environmental Health and Safety,t,3,78e2d0f10ec3661d8935fdd38400b3c40065bd84f3187206a1304ac89ba6b5e5,,
158,REG-146,standards-for-the-management-of-used-oil,Standards For the Management of Used Oil,federal,Environmental Health and Safety,t,4,2deff4d4d03c6f9f51fbc91eedd3ccead783a87050847feacbd8b8ef30db2f03,,
159,REG-147,the-public-health-security-and-bioterrorism-prepar,The Public Health Security and Bioterrorism Preparedness and Response Act,federal,Environmental Health and Safety,t,3,a22eaaf54fdab135060cf1bf9969ed92f839d55bec0c392a24e0577435c03b2a,,
160,REG-148,toxic-substances-control-act,Toxic Substances Control Act,federal,Environmental Health and Safety,t,3,7b99c94e371f77c0b4081935fa4c0dcabcc8ac6266c3954087fae1c8b8bbc799,,
161,REG-164,acts-affecting-a-personal-financial-interest,Acts Affecting a Personal Financial Interest,federal,Ethics,t,3,bf723569e798860c0a3638a4c0db52a6b5f6e3339dc85a8fe56f54f350dfe5b1,,
162,REG-165,bribery-of-public-officials-and-witnesses,Bribery of Public Officials and Witnesses,federal,Ethics,t,3,4a026173f18029926ff649b7e94b6e13a92d51ebc4825e150c9c1efa9fbbfa9e,,
163,REG-169,compensation-to-members-of-congress-officers-other,"Compensation to Members of Congress, Officers, Others in Matters Affecting the Government",federal,Ethics,t,3,5edeadb916210f5c2364f790478ae1f39fb3dd9f5fa85403af72f1182a8a78a2,,
164,REG-173,ethics-in-government-act-amended-by-ethics-reform-,Ethics in Government Act (Amended by Ethics Reform Act and Honest Leadership and Open Government Act of 2007),federal,Ethics,t,3,b756615ab6d8d1ed8e74c60142fc80b6375edb07a8658f4034c0af952c455509,,
165,REG-181,house-and-senate-gift-ban-and-ethics-rules,House and Senate Gift Ban and Ethics Rules,federal,Lobbying and Political Activities,t,4,5f42b9b84eed2aa668b4fd9a6032e69b59b07b82ce8656b7344b4c8bda1be717,,
166,REG-064,outside-earned-income-and-activities,Outside Earned Income and Activities,federal,Ethics,t,3,8fe444cc290e916b39871981618507b0679754bbe9a727bfd8b42629aba15e7f,,
167,REG-194,restrictions-on-former-officers-employees-and-elec,"Restrictions on Former Officers, Employees, and Elected Officials of the Executive and Legislative",federal,Ethics,t,3,98301d311c731a2036ae3f646b34a8946b77dbd28d27e141b2d84482f48b094b,,
168,REG-195,salary-of-government-officials-and-employees-payab,Salary of Government Officials and Employees Payable Only by United States,federal,Ethics,t,3,9376e6127446d7208c8f1d3e3c94029e5c7caa22eaaf64009aaa5ca66b892ff6,,
169,REG-034,arms-export-control-act-of-1976,Arms Export Control Act of 1976,federal,Uncategorized,t,3,7b2baf7a20051f2e29142d8022859d59fc148462583d97e917215793894319d4,,31001fa068a3fa837d377fc74b3454e55bfe08a3acaf1a2fc71b2d364a0b3750
170,REG-037,export-administration-act-of-1979,Export Administration Act of 1979,federal,Export Controls,t,3,804d6980f615dd9619782b32cfae402dc359e414ce478d5aca417fca906eee0a,,
171,REG-039,foreign-assets-control-regulations,Foreign Assets Control Regulations,federal,Uncategorized,t,4,b6bf75e4d529de474a323b0457c9226aac2766f519ae39dfc1199a5e8d58a0eb,,3ca339304be46ef78d6f4bf7df95588588a8b04047363c3b2c30c4cb8e8663ac
172,REG-059,international-emergency-economic-powers-act,International Emergency Economic Powers Act,federal,Export Controls,t,3,2a05c463bf5fc36006b6aa836c12177a8e84923875feed82e0ac9b40b1a5600d,,
173,REG-060,international-traffic-in-arms-regulations-itar,International Traffic in Arms Regulations (ITAR),federal,Uncategorized,t,3,c43ef844383b51cead0a7ef8000dbee63339f695c0fc6f58f5a1b5d0ec73ec79,,45f9923069c3637a3fa80a9e1d95a0c6de520ff7faf9903333cb005807178f4f
174,REG-070,trading-with-the-enemy-act-of-1917,Trading with the Enemy Act of 1917,federal,Uncategorized,t,3,f61bf92894b0ed24414c260a57334c457d647207c7c41d3c921d10314ebde377,,4f8398d98f076fc2ec512d233df371eac149ccb96c87f59d5ebf66adadbcb6c0
175,REG-035,contracts-with-third-party-servicers,Contracts with Third Party Servicers,federal,Uncategorized,t,3,255b3e6dc638e59c77fd04df9c81840213dea98b868ed54692e4b20953b314a4,,587ac8ee1c558652abdb098f7c3b93246f3a0721a42306877b56e33fa651308f
176,REG-040,higher-education-act-aid-application-verification,Higher Education Act: Aid Application Verification,state,Uncategorized,t,4,bb0eaa001a567c593f0187a4f9ddb82cba5536866d99ae9b9490ce2d419f6b8b,PA,8f481c65fcbaf2c77e1db8bf1723830296d195150aa278adb4f57938bf3f5a79
