103|REG-134|Federal Insecticide, Fungicide and Rodenticide Act|7|0|0|0|0
104|REG-135|Guarding and Use of Hand & Portable Powered Tools|6|0|0|0|0
105|REG-115|Hazardous Materials Transportation Act|7|0|0|0|0
106|REG-136|Hazardous and Solid Waste Amendments of 1984|4|0|0|0|0
107|REG-139|Housing & Urban Development Lead Based Paint Poisoning in Certain Residential Structures|5|0|0|0|0
108|REG-140|Mandatory Reporting of Greenhouse Gases|6|0|0|0|0
109|REG-141|Motor Carrier Act of 1980|6|0|0|0|0
110|REG-142|National Emission Standards for Hazardous Air Pollutants (NESHAP)|6|0|0|0|0
111|REG-098|OSHA|14|0|0|0|0
112|REG-088|OSHA Asbestos in Construction Standard|10|0|0|0|0
113|REG-089|OSHA Asbestos in General Industry Standard|10|0|0|0|0
114|REG-090|OSHA Enforcement Guidance for Personal Protective Equipment (PPE) in General Industry|7|0|0|0|0
115|REG-091|OSHA Lead in Construction Standard|9|0|0|0|0
116|REG-092|OSHA Lead in General Industry Standard|9|0|0|0|0
117|REG-093|OSHA Welding, Cutting, and Brazing|7|0|0|0|0
118|REG-094|OSHA – Bloodborne Pathogens Standard|10|0|0|0|0
119|REG-095|OSHA’s  Emergency Action Plan Standard|7|0|0|0|0
120|REG-096|OSHA’s  Occupational Noise Exposure Standard|7|0|0|0|0
121|REG-097|OSHA’s Occupational Exposure to Hazardous Chemicals in Laboratories Standard|7|0|0|0|0
122|REG-143|Oil Pollution Act|7|0|0|0|0
123|REG-144|Residential Lead-Based Paint Hazard Reduction Act of 1992|6|0|0|0|0
124|REG-145|Resource Conservation and Recovery Act|8|0|0|0|0
125|REG-146|Standards For the Management of Used Oil|6|0|0|0|0
126|REG-147|The Public Health Security and Bioterrorism Preparedness and Response Act|6|0|0|0|0
127|REG-148|Toxic Substances Control Act|6|0|0|0|0
128|REG-164|Acts Affecting a Personal Financial Interest|7|0|0|0|0
129|REG-165|Bribery of Public Officials and Witnesses|7|0|0|0|0
130|REG-169|Compensation to Members of Congress, Officers, Others in Matters Affecting the Government|7|0|0|0|0
131|REG-173|Ethics in Government Act (Amended by Ethics Reform Act and Honest Leadership and Open Government Act of 2007)|7|0|0|0|0
132|REG-181|House and Senate Gift Ban and Ethics Rules|7|0|0|0|0
133|REG-064|Outside Earned Income and Activities|6|0|0|0|0
134|REG-194|Restrictions on Former Officers, Employees, and Elected Officials of the Executive and Legislative|7|0|0|0|0
135|REG-195|Salary of Government Officials and Employees Payable Only by United States|7|0|6|0|0
136|REG-034|Arms Export Control Act of 1976|2|0|6|0|0
137|REG-037|Export Administration Act of 1979|7|0|6|0|0
138|REG-039|Foreign Assets Control Regulations|26|0|7|0|0
139|REG-059|International Emergency Economic Powers Act|7|0|8|0|0
140|REG-060|International Traffic in Arms Regulations (ITAR)|35|0|8|0|0
141|REG-070|Trading with the Enemy Act of 1917|4|0|6|0|0
142|REG-035|Contracts with Third Party Servicers|28|0|0|0|0
143|REG-040|Higher Education Act: Aid Application Verification|31|0|2|0|0
144|REG-041|Higher Education Act: Audits|27|0|2|0|0
145|REG-042|Higher Education Act: Borrower Defense to Repayment|27|0|2|0|0
146|REG-043|Higher Education Act: Cash Management|8|0|2|0|0
147|REG-245|Higher Education Act: Code of Conduct|7|0|2|0|0
148|REG-044|Higher Education Act: Cohort Default Rate|29|0|2|0|0
149|REG-045|Higher Education Act: Eligibility and Certification|31|0|2|0|0
150|REG-046|Higher Education Act: Entrance and Exit Counseling|26|0|2|0|0
151|REG-047|Higher Education Act: Federal Supplemental Educational Opportunity Grant Program|28|0|2|0|0
152|REG-048|Higher Education Act: Federal Work Study|29|0|2|0|0
153|REG-049|Higher Education Act: Financial Responsibility Requirements|28|0|2|0|0
154|REG-050|Higher Education Act: Information Distributed to Students|39|0|2|0|0
155|REG-051|Higher Education Act: Net Price Calculator|25|0|2|0|0
156|REG-052|Higher Education Act: PLUS Loans|8|0|2|0|0
157|REG-053|Higher Education Act: Penalties for Drug Violations|27|0|2|0|0
158|REG-054|Higher Education Act: Perkins Loans|33|0|2|0|0
159|REG-055|Higher Education Act: Preferred Lenders|7|0|2|0|0
161|REG-057|Higher Education Act: Record Retention|35|0|2|0|0
162|REG-058|Higher Education Act: Standard of Conduct|5|0|2|0|0
164|REG-067|Student Loan Default Prevention Initiative Act of 1990|1|0|0|0|0
165|REG-068|Student Right to Know Act|1|0|0|0|0
166|REG-069|Teacher Preparation Programs|31|0|0|0|0
168|REG-103|Controlling the Assault of Non-Solicited Pornography And Marketing Act of 2003 (CAN-SPAM Act)|8|0|0|0|0
171|REG-247|Internal Revenue Code: Substantiation and Disclosure Provisions|6|0|0|0|0
172|REG-248|Pension Protection Act|6|0|0|0|0
173|REG-249|Philanthropy Protection Act of 1995|5|0|0|0|0
174|REG-176|Federal Sentencing Guidelines|8|0|0|0|0
175|REG-184|Internal Revenue Service: Governance Information Required on Form 990|7|0|0|0|0
176||REG1891|0|0|0|0|0
178|REG-104|Department of Education General Administrative Regulations and Other Applicable Grant Regulations|8|0|2|0|0
179|REG-011|False Claims Act|6|0|0|0|0
180|REG-111|Federal Awardee Performance and Integrity Information System (FAPIIS)|4|0|0|0|0
181|REG-112|Federal Funding Accountability and Transparency Act of 2006 (FFATA)|5|0|0|0|0
182|REG-113|Fraud Enforcement and Recovery Act of 2009 (FERA)|5|0|0|0|0
183|REG-102|Controlled Substances Act|8|0|0|0|0
184||HIPAA|0|0|0|0|0
185|REG-137|Higher Education Opportunity Act|7|0|2|0|0
189|REG-022|Health Insurance Portability and Accountability Act|0|0|0|0|0
190|REG-217|NSF grant term and condition, September 21, 2018|6|0|0|0|0
191|REG-159|Student Exchange and Visitor Information System (SEVIS)|9|0|1|0|0
192|REG-154|Immigration and Nationality Act (INA)|7|0|0|0|0
193|REG-101|Communications Assistance for Law Enforcement Act (CALEA)|6|0|0|0|0
196|REG-105|Electronic Communications Privacy Act of 1986|6|0|0|0|0
197|REG-108|FCC – Cable Certification|5|0|0|0|0
198|REG-109|FCC – Fixed Microwave Services, Licensing|5|0|0|0|0
199|REG-110|FCC – Wireless Communications, Licensing|6|0|0|0|0
202|REG-116|Homeland Security Act of 2002|26|0|0|0|0
203|REG-117|Junk Fax Prevention Act of 2005|5|0|0|0|0
204|REG-119|No Electronic Theft Act|5|0|0|0|0
205|REG-121|Telemarketing|6|0|0|0|0
206|REG-198|American Jobs Creation Act of 2004|4|0|0|0|0
207|REG-201|Bayh-Dole Act of 1980|8|0|0|0|0
208|REG-036|Cooperative Research and Technology Enhancement Act (CREATE Act)|28|0|0|0|0
209|REG-226|Trademark Revision Act|5|0|0|0|0
210|REG-227|U.S. Patent Act|5|0|0|0|0
211|REG-228|Visual Artists Rights Act|5|0|0|0|0
212|REG-212|Foreign Agents Registration Act of 1938|4|0|1|0|0
213|REG-213|Foreign Corrupt Practices Act (FCPA)|7|0|1|0|0
214|REG-180|Honest Leadership and Open Government Act of 2007|7|0|0|0|0
216|REG-185|Lobbying Disclosure Act|6|0|0|0|0
217|REG-188|Political Activities|7|0|0|0|0
219|REG-027|Children’s Online Privacy Protection Act of 1998 (COPPA)|28|0|0|0|0
220|REG-028|Electronic Communications Privacy Act|34|0|0|0|0
222|REG-029|Fair and Accurate Credit Transaction Act (FACTA)|10|0|0|0|0
223|REG-004|Family Educational Rights and Privacy Act (FERPA)|46|0|2|1|0
224|REG-030|Federal Information Security Management Act (FISMA)|29|0|0|0|0
225|REG-031|Freedom of Information Act|18|0|0|0|0
226|REG-032|Gramm Leach Bliley Act (GLBA)|27|0|0|1|0
228|REG-033|Health Information Technology for Economic and Clinical Health (HITECH) Act of 2009|35|0|0|0|0
229|REG-074|Higher Education Act Financial Value Transparency & Gainful Employment|7|0|2|0|0
230|REG-082|Higher Education Act: Credit Hour Definition|6|0|2|0|0
231|REG-083|Higher Education Act: Incentive Compensation Prohibition|6|0|2|0|0
232|REG-084|Higher Education Act: Misrepresentation|7|0|2|0|0
233|REG-085|Higher Education Act: State Authorization|7|0|2|0|0
234|REG-207|Drug & Alcohol Testing of Transportation Employees|8|0|0|0|0
